Action Date,Asset,Parts & Services,Action,Current Odometer
2021-09-29 16:50:36,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Deactivate,"984,053.96"
2021-09-30 11:08:23,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"984,260.52"
2021-09-30 13:48:37,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"984,260.52"
2021-09-30 17:27:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"984,260.52"
2021-10-31 10:26:32,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"989,303.84"
2021-10-31 11:20:10,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"989,303.84"
2021-10-31 13:14:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"989,303.84"
2021-12-04 15:47:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"994,507.37"
2021-12-04 17:20:45,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"994,507.37"
2021-12-04 20:46:40,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"994,507.37"
2022-01-09 08:17:42,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"999,756.98"
2022-01-09 11:41:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"999,756.98"
2022-01-09 20:41:08,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"999,756.98"
2022-01-13 15:44:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,000,421.71"
2022-02-10 08:44:07,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,004,878.04"
2022-02-10 11:57:20,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,004,878.04"
2022-02-10 20:19:09,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,004,878.04"
2022-03-12 07:58:39,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,009,905.89"
2022-04-06 12:31:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,014,518.05"
2022-04-06 16:21:55,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,014,518.05"
2022-04-06 19:04:05,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,014,518.05"
2022-04-08 17:38:14,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,014,931.55"
2022-04-30 10:07:02,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,019,255.77"
2022-04-30 14:53:12,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,019,255.77"
2022-04-30 15:11:27,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,019,255.77"
2022-05-22 10:14:52,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,023,937.35"
2022-05-22 12:46:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,023,937.35"
2022-05-22 21:12:29,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,023,937.35"
2022-06-14 16:49:28,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,028,881.15"
2022-06-14 17:11:31,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,028,881.15"
2022-06-14 20:34:49,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,028,881.15"
2022-06-24 13:53:55,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,031,167.72"
2022-07-09 13:11:38,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,034,438.66"
2022-07-09 14:05:52,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,034,438.66"
2022-07-09 15:54:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,034,438.66"
2022-07-31 08:36:50,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,039,102.49"
2022-07-31 09:11:49,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,039,102.49"
2022-07-31 13:06:19,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,039,102.49"
2022-08-26 07:59:20,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,044,428.16"
2022-08-26 15:19:30,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,044,428.16"
2022-08-26 22:58:29,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,044,428.16"
2022-09-12 09:20:23,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,047,543.66"
2022-09-22 07:27:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,049,370.82"
2022-09-22 12:58:33,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,049,370.82"
2022-09-22 13:37:50,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,049,370.82"
2022-10-22 18:00:12,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,054,446.01"
2022-11-24 08:01:57,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,059,548.30"
2022-11-24 10:11:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,059,548.30"
2022-11-24 22:29:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,059,548.30"
2022-12-18 16:58:02,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,063,003.50"
2022-12-27 17:35:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,064,363.79"
2022-12-27 18:28:07,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,064,363.79"
2022-12-27 22:12:06,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,064,363.79"
2023-01-28 11:33:20,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,069,162.85"
2023-03-02 14:40:36,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,074,540.99"
2023-03-02 20:47:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,074,540.99"
2023-03-02 21:42:04,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,074,540.99"
2023-03-24 09:56:32,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Deactivate,"1,078,488.06"
2023-03-24 10:20:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,078,488.06"
2023-03-24 17:34:48,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Deactivate,"1,078,488.06"
2023-04-02 07:03:49,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,080,043.69"
2023-04-02 11:44:54,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,080,043.69"
2023-04-02 19:58:07,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,080,043.69"
2023-04-26 16:06:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,084,936.19"
2023-04-26 16:44:11,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,084,936.19"
2023-04-26 18:08:05,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,084,936.19"
2023-05-19 20:23:29,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,089,804.15"
2023-06-09 22:12:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,094,245.76"
2023-06-12 07:49:04,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,094,813.50"
2023-06-12 08:42:46,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,094,813.50"
2023-06-12 17:08:18,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,094,813.50"
2023-07-05 21:34:48,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,099,941.31"
2023-07-27 09:00:12,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,104,647.30"
2023-07-27 17:06:51,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,104,647.30"
2023-07-27 21:53:29,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,104,647.30"
2023-08-18 18:52:51,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,109,109.02"
2023-08-23 20:35:50,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,110,093.10"
2023-09-17 14:40:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,114,787.19"
2023-09-17 14:48:27,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,114,787.19"
2023-09-17 17:16:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,114,787.19"
2023-10-18 09:27:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,120,201.76"
2023-11-16 11:53:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,124,772.17"
2023-11-16 19:34:52,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Deactivate,"1,124,772.17"
2023-11-16 22:49:39,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Deactivate,"1,124,772.17"
2023-11-22 07:44:55,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,125,643.61"
2023-11-22 16:14:14,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,125,643.61"
2023-11-22 18:51:48,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,125,643.61"
2023-12-30 22:01:39,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,131,163.12"
2024-01-30 21:48:48,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,135,820.47"
2024-02-19 09:29:58,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,139,101.21"
2024-03-01 21:43:12,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,140,967.09"
2024-03-27 09:06:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,145,636.41"
2024-04-22 10:21:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,150,713.92"
2024-04-22 20:16:31,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,150,713.92"
2024-04-22 20:25:51,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,150,713.92"
2024-05-05 08:25:55,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,153,308.33"
2024-05-18 08:24:36,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,156,207.86"
2024-05-18 11:50:45,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,156,207.86"
2024-05-18 19:55:55,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,156,207.86"
2024-06-09 09:26:30,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,160,901.94"
2024-06-09 13:13:51,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,160,901.94"
2024-06-09 19:55:46,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,160,901.94"
2024-07-01 08:24:58,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,165,707.55"
2024-07-09 14:55:40,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,167,443.57"
2024-07-26 16:42:39,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,171,100.64"
2024-07-26 18:39:10,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,171,100.64"
2024-07-26 19:20:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,171,100.64"
2024-08-21 07:27:49,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,176,296.59"
2024-08-21 14:10:43,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,176,296.59"
2024-08-21 15:16:12,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,176,296.59"
2024-09-19 13:02:28,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,181,761.19"
2024-09-21 19:37:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"1,182,119.87"
2024-10-21 21:29:50,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,187,160.05"
2024-11-20 15:48:57,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"1,191,827.96"
2024-11-20 15:58:48,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,191,827.96"
2024-11-20 22:56:38,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"1,191,827.96"
2024-12-26 11:02:58,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"1,197,058.75"
